,message,cleaned,output
46,"Instead of 5 remind me at 5:30,","instead  remind :,",['How']
47,"OK Tomo I want a reminder to b set,","ok tomo want reminder b set,",['Not Found']
48,"I want to be set,","want set,",['Not Found']
49,"Plz remind ne,","plz remind ne,",['Not Found']
50,"Hey thanks. Reminder for what exactly?,","hey thanks. reminder exactly?,",['the reminders']
51,"Hie can u remind me to finish Eis audit by 10 January,","hie u remind finish eis audit  january,",['How']
52,"Remaind for dinner at 7:08 on today,","remaind dinner : today,",['dinner']
53,"It's ok... I'll let you know if I need any help,","it's ok... i'll let know need help,",['Not Found']
54,"Remind me from daily from today,","remind daily today,",['Not Found']
55,"Please remind me to take a test at 4:30 pm tomorrow.,","please remind take test : pm tomorrow.,",['Not Found']
56,"Then remind me for studying at 3:30 pm,","remind studying : pm,",['Not Found']
57,"Remind me to do my studies,","remind studies,",['How']
58,"What is the reminder?,","reminder?,",['What']
59,"Tell me something about haptik,","tell something haptik,",['you']
60,"Remind me at 830 today - to carry S C O solution home,","remind  today - carry c solution home,",['the same']
61,"Basket saaf krni h....remind me on 8 PM tomorrow,","basket saaf krni h....remind  pm tomorrow,",['the same']
62,"what is the exam timing of bharatiya vidya bhavans clg churchgate for fyba today,","exam timing bharatiya vidya bhavans clg churchgate fyba today,",['exam']
63,"Reminder me at 9.00 am,","reminder . am,",['Not Found']
64,"I want to meet my boss at around 3pm. So remind me about it at around 12,","want meet bos around pm. remind around ,",['meet']
65,"Can you call me @ 8106683849,","call @ ,",['Call']
66,"Thx for reminder,","thx reminder,",['What']
67,"Please remind me after 2 .00 pm for today,","please remind  . pm today,",['Not Found']
68,"Remind me to watch star gold @9 pm,","remind watch star gold @ pm,",['Not Found']
69,"Need reminder,","need reminder,",['Not Found']
70,"I need to change that reminder,","need change reminder,",['Not Found']
71,"Close all the remainder,","close remainder,",['Not Found']
72,"Remind me to collect laptop bill NOC from bajaj finance on 10 march,","remind collect laptop bill noc bajaj finance  march,",['How']
73,"Do I have any reminders active for me??,","reminder active me??,",['Not Found']
74,"10:15 am,",": am,",['Not Found']
75,"there are legal matters for which i need to be present in court for... need to make different reminders,","legal matter need present court for... need make different reminders,",['Not Found']
76,"Plz remind me go to home nd teck beg,","plz remind go home nd teck beg,",['go home']
77,"Please remind me at 8 am,","please remind  am,",['Not Found']
78,"just set a call and notification reminder,","set call notification reminder,",['Call']
79,"HI !!! Could you please set an alarm of 6:00 pm,","hi !!! could please set alarm : pm,",['Not Found']
80,"Can you please put my reminder in notifications of my mobile,","please put reminder notification mobile,",['Not Found']
81,"Can you please remind me for a vaccination at 8:30 pm.,","please remind vaccination : pm.,",['Not Found']
82,"Can you remind me that I have to send my PPF form and details today. Secondly that I need to book my transit flight to Malaysia,","remind send ppf form detail today. secondly need book transit flight malaysia,",['book tickets']
83,"Remind me at 9 ,i gotta take drugs,","remind  ,i gotta take drugs,",['How']
84,"Can u schedule one more for me?,","u schedule one me?,",['Not Found']
85,"Pls remind to mail to Shailendra by 11 pm today,","pls remind mail shailendra  pm today,",['the same']
86,"Also remind me of wrapping the gift for Samiran at 08:45,","also remind wrapping gift samiran :,",['How']
87,"Setup reminder,","setup reminder,",['What']
88,"Hi please remind me to go to doctor on 10th December at 12.30,","hi please remind go doctor th december .,",['Not Found']
89,"I want to delete all the reminders set till today,","want delete reminder set till today,",['Not Found']
90,"Please remind me after 5 days to close the Lynda.com site,","please remind  day close lynda.com site,",['Not Found']
91,"Hi. Remind me everyday at 10pm to brush my teeth nd sleep,","hi. remind everyday pm brush teeth nd sleep,",['sleep']
92,"Can u remember me for tablets at 12 at night,","u remember tablet  night,",['Not Found']
93,"Can you set me alarms,","set alarms,",['Not Found']
94,"Remind me to talk to ZEROGRAVITY ppl,","remind talk zerogravity ppl,",['How']
95,"ReMind me,","remind me,",['How']
96,"And set a snooze for 4:30 am also,","set snooze : also,",['Not Found']
97,"Ya one more reminder,","ya one reminder,",['Not Found']
98,"The same u shud remind me every day,","u shud remind every day,",['Not Found']
99,"Also remind me to get my bike insured at 11 am tommorow,","also remind get bike insured  tommorow,",['How']
100,"Remind me to book bus tickets,","remind book bus tickets,",['book tickets']
101,"You can remind me at 3.50am,","remind .am,",['Not Found']
102,"Can u remind me to study at 10:00 pm,","u remind study : pm,",['study']
103,"Change the reminder to 8:00 am,","change reminder : am,",['Not Found']
104,"Remind me booking cover my love,","remind booking cover love,",['How']
105,"Remind me i have to pay Lakshya 500 rupees,","remind pay lakshya  rupees,",['How']
106,"Reminder me at 7.25,","reminder .,",['What']
107,"Can you remind me about one more thing?,","remind one thing?,",['How']
108,"Remind me at 11 am to do my PE project,","remind  pe project,",['How']
109,"Can you remind me about my Books at 9:50 am,","remind book : am,",['book tickets']
110,"Remind me to finishmy snap registration,","remind finishmy snap registration,",['How']
111,"Do I need to enable the reminder gain and again,","need enable reminder gain again,",['Not Found']
112,"Remind me to send a mail to Pooja bajaj at 9 in the night,","remind send mail pooja bajaj  night,",['How']
113,"And set 2 remainder also,","set  remainder also,",['Not Found']
114,"Can you set an reminder for me?,","set reminder me?,",['What']
115,"I would need you to remind me of some action items,","would need remind action items,",['How']
116,"Remind me about NGO,","remind ngo,",['How']
117,"Pls tell me more about haptik,","pls tell haptik,",['you']
118,"8 AM,"," am,",['Not Found']
119,"Thanks i received a call,","thanks received call,",['call']
120,"Set the schedule,","set schedule,",['Not Found']
121,"Remind me in six months,","remind six months,",['How']
122,"Another reminder for making a transfer certificate for vihaan,","another reminder making transfer certificate vihaan,",['another reminder']
123,"Business meeting to Chitradurga on 23 Nov 2016,","business meeting chitradurga  nov ,",['meeting']
124,"Set this reminder on 902109077,","set reminder ,",['What']
125,"Remind me to buy eggs at 9:11 pm today,","remind buy egg : pm today,",['buy eggs']
126,"8th may 12 o clock,","th may  clock,",['Not Found']
127,"Need to set one more alarm,","need set one alarm,",['Not Found']
128,"remind about mastrubating,","remind mastrubating,",['How']
129,"Remind me at 9:15p.m. today on 23 december 2016,","remind :p.m. today  december ,",['Not Found']
130,"Dint get the reminder last time,","dint get reminder last time,",['Not Found']
131,"Hello Gloria!,","hello gloria!,",['Not Found']
132,"Wish Birthday Name: Rashmitha Date: April 14, 2017 Time: 11 55 pm,","wish birthday name: rashmitha date: april ,  time:   pm,",['Not Found']
133,"10 December,"," december,",['Not Found']
134,"This one remind me to get the box from my friend's place.,","one remind get box friend's place.,",['How']
135,"Remind me for my leave plan for Jan,","remind leave plan jan,",['leave']
136,"263/pw/10 Pl remind on 6/2/17,","/pw/ pl remind //,",['How']
137,"remind me tommorow to fill my loan application,","remind tommorow fill loan application,",['How']
138,"Just remind me to go outside at 4:00 pm,","remind go outside : pm,",['Not Found']
139,"Remind on 22 nov,","remind  nov,",['How']
140,"Hi can u please remind me about time end of newspaper,","hi u please remind time end newspaper,",['Not Found']
141,"I need a reminder for November 2017,","need reminder november ,",['Not Found']
142,"Thanks for this awesome reminder ,","thanks awesome reminder ,",['the reminders']
143,"Remind me of vedant appointment cardiologist at 11 am on21 november,","remind vedant appointment cardiologist  on november,",['appointment']
144,"Can you tell how to set dnd,","tell set dnd,",['you']
145,"remind me to wish chiriya,","remind wish chiriya,",['wish']
146,"Remind me to attend Yashraj's engagement,","remind attend yashraj's engagement,",['How']
147,"Remind me my lpg Botel booking,","remind lpg botel booking,",['How']
148,"Remind me to buy excel matic today @ 8.00 pm,","remind buy excel matic today @ . pm,",['the same']
149,"Pls remind me to attend marriage on 21 January 9 am of Patel at keshavbag party plot,","pls remind attend marriage  january  patel keshavbag party plot,",['Not Found']
150,"Can u pls set an alarm for 8 in the morning for tomorrow,","u pls set alarm  morning tomorrow,",['Not Found']
151,"Remind me on 7th January at 8 pm for TV program,","remind th january  pm tv program,",['Not Found']
152,"Hi Good Morning .. Thanks for this assistance... Yes pls help me out with to do list,","hi good morning .. thanks assistance... yes pls help list,",[')']
153,"Old remember and this same,","old remember same,",['Not Found']
154,"Hey can you remind me every 1 hour from 8am to 12 pm everday?,","hey remind every  hour am  pm everday?,",['the same']
155,"Sure i will aftr wkeup call,","sure aftr wkeup call,",['Call']
156,"Remind me to pack for my college by tomorrow 5pm,","remind pack college tomorrow pm,",['the same']
157,"I am done with my schedule,","done schedule,",['Not Found']
158,"Remind me about it rectification,","remind rectification,",['How']
159,"Amd please remind me to do microbial metabolism at 11am today,","amd please remind microbial metabolism am today,",['the same']
160,"Just remind me every 1 of every month,","remind every  every month,",['the same']
161,"Today 745 am, pl remind me about serahs birth certificate,","today  am, pl remind serahs birth certificate,",['the same']
162,"tell me about this,","tell this,",['you']
163,"Remind me for Monday's interview with govt of India,","remind monday's interview govt india,",['How']
164,"Plz remind me only in afternoon,","plz remind afternoon,",['Not Found']
165,"Thank u soooo much for reminding me ,","thank u soooo much reminding ,",[')']
166,"OK ! I am about to do it !,","ok ! !,",['Not Found']
167,"Abhi tho remind kiya dhas minute ke pehle ,","abhi tho remind kiya dhas minute ke pehle ,",['Not Found']
168,"Everyday reminder,","everyday reminder,",['Not Found']
169,"Three alarms,","three alarms,",['Not Found']
170,"Also.. Plz remind me to collect diary from shop tomorow at 7.30 pm,","also.. plz remind collect diary shop tomorow . pm,",['Not Found']
171,"Hey, could you remind me to wish mom on 12th dec, say 8.30 AM,","hey, could remind wish mom th dec, say . am,",['wish']
172,"Remind me for recharge,","remind recharge,",['recharge']
173,"Please remind me about my bike service to be given on 28 th of thismonth.,","please remind bike service given  th thismonth.,",['Not Found']
174,"Plz remind every year,","plz remind every year,",['Not Found']
175,"Please set a general reminder every hour .please call,","please set general reminder every hour .please call,",['Not Found']
176,"Can you Please set a reminder for tomorrow,","please set reminder tomorrow,",['Not Found']
177,"Please set a reminder,","please set reminder,",['Not Found']
178,"Can I get two calls?!,","get two calls?!,",['How']
179,"Also I need to deposit 20K in my savings account for recurring deposit on 20th, please remind me on 19th at 10am,","also need deposit k saving account recurring deposit th, please remind th am,",['deposit cheque']
180,"Plz set a reminder to watch channel,","plz set reminder watch channel,",['Not Found']
181,"Hey sis do remind me on 11th of Jan..1 more to go 4 Amitesh birthday,","hey si remind th jan.. go  amitesh birthday,",['birthday']
182,"Can I plz make this reminder for whole week.,","plz make reminder whole week.,",['Not Found']
183,"Pl remind today at 8 pm to keep blanl cheque,","pl remind today  pm keep blanl cheque,",['the same']
184,"What was my reminder of today 10 am,","reminder today  am,",['Not Found']
185,"Mere 2no reminder active hai ?,","mere no reminder active hai ?,",['What']
186,"Remind me to eat egg at 5:45 PM today.,","remind eat egg : pm today.,",['eat']
187,"Shraddha another one reminder please can you do this?,","shraddha another one reminder please this?,",['Another']
188,"Plz remind me about today's tasks????,","plz remind today's tasks????,",['Not Found']
189,"Ok please send me the reminder,","ok please send reminder,",['Not Found']
190,"Give me a reminder to send mail by 10:40 now,","give reminder send mail : now,",['How']
191,"So WL u b available 24x7 means if i set a reminder late night thn?,","wl u b available x mean set reminder late night thn?,",['What']
192,Deactivate reminder,deactivate reminder,['What']
193,"Remind me to collect collect the brail from the blind school on 14,","remind collect collect brail blind school ,",['How']
194,"Why i have a call from haptik?,","call haptik?,",['Call']
195,"Remind me to take bath at 12:30 Today,","remind take bath : today,",['bath']
196,"Remind me of pavan cheated upon james,","remind pavan cheated upon james,",['How']
197,"Please deactivate all alarms,","please deactivate alarms,",['Not Found']
198,"Is it possible to remind me everyday?,","possible remind everyday?,",['Not Found']
199,"Can u set reminder for me !,","u set reminder !,",['What']
200,"Only reminder,","reminder,",['What']
201,"Could you please remind me to keep the money in kitchen tomorrow at around 10:40am,","could please remind keep money kitchen tomorrow around :am,",['Not Found']
202,"Need another reminder to set,","need another reminder set,",['another reminder']
203,"Ok thanks for remember,","ok thanks remember,",['Not Found']
204,"Please message me instead of calling,","please message instead calling,",['calling me']
205,"18dec 12:00 pm schedule Pintu didi lunch,","dec : pm schedule pintu didi lunch,",['lunch']
206,"Please tell us about haptik software,","please tell u haptik software,",['you']
207,"1.30 pm Reminder: shankar test,",". pm reminder: shankar test,",['Where']
208,"There were some of my reminders for this month on other phone and now I have a just changed,","reminder month phone changed,",['What']
209,"8.00 am,",". am,",['Not Found']
210,"Your reminder is 1 day reminder,","reminder  day reminder,",['What']
211,"Alarms after 8 pm also needed,","alarm  pm also needed,",['Alarm']
212,"This is tomorrow's study schedule,","tomorrow's study schedule,",['study']
213,"Pls make sure all my reminder r with the content,","pls make sure reminder r content,",['Not Found']
214,"thx for reminding,","thx reminding,",['reminding me']
215,"Yes.....i want u to remind me that every day,","yes.....i want u remind every day,",['Not Found']
216,"Remind me to send my wife a gift,","remind send wife gift,",['How']
217,"Sorry . Got a little late. Will schedule my tasks later.,","sorry . got little late. schedule task later.,",['Not Found']
218,"Reminder after 15 min,","reminder  min,",['What']
219,"Remind me on 10th Dec morning 4am to take gold flower's and bro mariage clothes..,","remind th dec morning am take gold flower's bro mariage clothes..,",['Not Found']
220,"Remind me to uninstall you,","remind uninstall you,",['How']
221,"Also remind me to check harish's computer.,","also remind check harish's computer.,",['How']
222,"Rahulji HI calling at 7pm today 7891044451,","rahulji hi calling pm today ,",['calling me']
223,"Can u give a fake call,","u give fake call,",['Call']
224,"I have got 1 more reminder,","got  reminder,",['What']
225,"Thanks for reminding me,","thanks reminding me,",['reminding me']
226,"Reminder Appointment for driving licenses,","reminder appointment driving licenses,",['appointment']
227,"Please remind me to repair my wife's phone at 10am tomorrow,","please remind repair wife's phone am tomorrow,",['Not Found']
228,"Actually set a alarm for 5 tomorrow morning .,","actually set alarm  tomorrow morning .,",['Not Found']
229,"Yup! Tysm for reminder...,","yup! tysm reminder...,",['What']
230,"Set 10 am to 10 pm,","set   pm,",['Not Found']
231,"Can u like play a song rather than calling,","u like play song rather calling,",['calling me']
232,"Remind me tomorrow for visiting new house,","remind tomorrow visiting new house,",['Not Found']
233,"Date: November 21, 2016 Time: 12 30 PM,","date: november ,  time:   pm,",['Not Found']
234,"Sorry please make it 8.45 pm for Reminder,","sorry please make . pm reminder,",['Not Found']
235,"Set a reminder at 8 am as well,","set reminder  well,",['What']
236,"Remind me after another half an hour,","remind another half hour,",['Not Found']
237,"Remind me to check a website in two days,","remind check website two days,",['How']
238,"Sould i have to recieve the call??,","sould recieve call??,",['Call']
239,"Can you just send me reminders through SMS?,","send reminder sms?,",['How']
240,"Reminder on Monday at 11 am to go to guru Ji,","reminder monday  go guru ji,",['What']
241,"I need a call at that time,","need call time,",['Not Found']
242,"Coll me to remind,","coll remind,",['How']
243,"Can u plz remind me the same tomorrow at 2pm,","u plz remind tomorrow pm,",['Not Found']
244,"3 reminders please,"," reminder please,",['Not Found']
245,"I need an alarm,","need alarm,",['Not Found']
246,"Can you set an alarm at 9 pm,","set alarm  pm,",['Not Found']
247,"Can you tell me if i have any reminders set?,","tell reminder set?,",['you']
248,"Plz remind from 8:00 am to 10:00 pm,","plz remind : : pm,",['Not Found']
249,"Also remind me to cal Daya handloom on 16-11-2016 at 11:30am,","also remind cal daya handloom -- :am,",['Not Found']
250,"Can you please remind me tomorrow at 9pm to start research work,","please remind tomorrow pm start research work,",['Not Found']
251,"Reminder was set up at 6,","reminder set ,",['What']
252,"Remind me abt tuition at 8:15,","remind abt tuition :,",['How']
253,"I need to set a reminder,","need set reminder,",['Not Found']
254,"Shave and carry shaving kit reminder tomorrow at 815 am and again at 830 am,","shave carry shaving kit reminder tomorrow   am,",['Not Found']
255,"Reminder.. In the morning by 9:30a.m to check out Vodafone bill payment,","reminder.. morning :a.m check vodafone bill payment,",['Not Found']
256,"Remind me at 7 pm today for massage,","remind  pm today massage,",['the same']
257,"Remind me at 8.45 am today,","remind . today,",['the same']
258,"Set a reminder for 1.20 pm,","set reminder . pm,",['Not Found']
259,"Remind me about take a test at 9 am,","remind take test  am,",['Not Found']
260,"Will you call me even if iam online on haptik,","call even iam online haptik,",['Call']
261,"Please set a reminder for 5th jan 17 for to ask ritika for balance confirmation circularisation,","please set reminder th jan  ask ritika balance confirmation circularisation,",['Not Found']
262,"Remind me to get some info about dentistry... Tomorrow 11 am,","remind get info dentistry... tomorrow  am,",['the same']
263,"Remind me on 7 Nov 12pm for Venus payment.,","remind  nov pm venus payment.,",['Not Found']
264,"Remind me about diwo today @5pm,","remind diwo today @pm,",['the same']
265,"Hi. Remind me at 2:45pm today to leave for driving class,","hi. remind :pm today leave driving class,",['class']
266,"Set alarm at 6:15am,","set alarm :am,",['Not Found']
267,"By call??,","call??,",['Call']
268,"Set a reminder on Thursday and Friday at 7 and 8 pm,","set reminder thursday friday   pm,",['Not Found']
269,"Friday evening 6o clock make a reminder of reminding chetan sir for the gift,","friday evening o clock make reminder reminding chetan sir gift,",['reminding me']
270,"Reminder me for IAS application form,","reminder ia application form,",['What']
271,"Hi..remind me of sending important message to my teacher at 4:30pm,","hi..remind sending important message teacher :pm,",['Not Found']
272,"Also Reminde me to cal maruti,","also reminde cal maruti,",['Not Found']
273,"Tell me one thing I'm just lit bit curious about reminder call..,","tell one thing i'm lit bit curious reminder call..,",['Call']
274,"Set reminder for raising travel request,","set reminder raising travel request,",['What']
275,"Gm,","gm,",['Not Found']
276,"I want to set time myself,","want set time myself,",['Not Found']
277,"Reminder? For what?,","reminder? what?,",['What']
278,"Please remind to process hyderabad rent payment tomorrow 4pm,","please remind process hyderabad rent payment tomorrow pm,",['Not Found']
279,"I want a reminder to catch a flight tomorrow at 6pm,","want reminder catch flight tomorrow pm,",['Not Found']
280,"Remind me at 12 noon,","remind  noon,",['How']
281,"Remind me to shop in myntra tomorrow,","remind shop myntra tomorrow,",['Not Found']
282,"Two call with 15 min intervel,","two call  min intervel,",['Call']
283,"Remind me to tell him abt job preferences at Pune and get advice,","remind tell abt job preference pune get advice,",['How']
284,"Please would you remind me at 9:40 pm,","please would remind : pm,",['Not Found']
285,"The reminder should be at 1215,","reminder ,",['What']
286,"Yeah...but can you schedule it from sunfay,","yeah...but schedule sunfay,",['Not Found']
287,"Movie schedule for Sunday at inox Panajim,","movie schedule sunday inox panajim,",['Not Found']
288,"I got reminder now,","got reminder now,",['What']
289,"Good morning Naqiyya,","good morning naqiyya,",[')']
290,"Remind that ppt today 6.00pm,","remind ppt today .pm,",['the same']
291,"Is there a reminder tone,","reminder tone,",['What']
292,"Call Deepak on 9 A.M tomorrow,","call deepak  a.m tomorrow,",['Call me']
293,"Reminder to give money back to vel,","reminder give money back vel,",['What']
294,"i want sms reminder every 1 hour 2 min..... from 8:00 pm,","want sm reminder every  hour  min..... : pm,",['the same']
295,"I want to set up reminder,","want set reminder,",['Not Found']
296,"Call me at 6.30am,","call .am,",['Call']
297,"Set me a reminder to wish my friend birthday on 10th December,","set reminder wish friend birthday th december,",['Not Found']
298,"Remind me at 2:30 pm that it's 27%,","remind : pm it's %,",['Not Found']
299,"Why general? I need specific reminder with the task discription,","general? need specific reminder task discription,",['Not Found']
300,"Remind me to go to movie dangal at 7pm,","remind go movie dangal pm,",['Not Found']
301,"Do you know what to remind me about,","know remind about,",['how']
302,"Could u pls set a reminder for me,","could u pls set reminder me,",['Not Found']
303,"Remind me to message ANIL PIE on 27th morning at 10:00 am,","remind message anil pie th morning : am,",['Not Found']
304,"Can u tell me something about u?,","u tell something u?,",['you']
305,"Visit puma store reminder at 630pm today,","visit puma store reminder pm today,",['Not Found']
306,"Can you please give a call around 4 .30 pm IST,","please give call around  . pm ist,",['give me a call']
307,"Reminde me aftr 1 hour,","reminde aftr  hour,",['Not Found']
308,"Do we need internet for Marvel Future fight.,","need internet marvel future fight.,",['Not Found']
309,"Could you please remind me for wish my friend for birthday.... today at 9am,","could please remind wish friend birthday.... today am,",['wish']
310,"set a reminder for me,","set reminder me,",['What']
311,"Remind me today at 11 pm about sarkari noukari,","remind today  pm sarkari noukari,",['the same']
312,"Oh yes! But right now there is nothing that I would like to be reminded about.. I will let you know if I need.,","oh yes! right nothing would like reminded about.. let know need.,",['Nothing']
313,"Remind me to to go to Austria on 3 march,","remind go austria  march,",['how']
314,"Thank u,","thank u,",[')']
315,"1/2 tab of Stamlobeta at 9.30 AM, Ecospirin 150 mg by 2.00 PM and Tonact 40mg by 9.30 PM,","/ tab stamlobeta . am, ecospirin  mg . pm tonact mg . pm,",['Not Found']
316,"6am,","am,",['Not Found']
317,"thanks for the remainder,","thanks remainder,",['Not Found']
318,"Remains Me about going to Yusof home on 9.30 am,","remains going yusof home . am,",['Not Found']
319,"And please remind me at sharp 8:30,","please remind sharp :,",['Not Found']
320,"Ok thnx for reminding me,","ok thnx reminding me,",['reminding me']
321,"Change my self study remainder from 12:00 pm to 10:15 am,","change self study remainder : pm : am,",['study']
322,"Remind me of gng to Suhas Arc by 12,","remind gng suhas arc ,",['How']
323,"Hi samreen remind me to have a walk per one hour,","hi samreen remind walk per one hour,",['walk']
324,"Please set reminder for 9 pm to pay lic premium,","please set reminder  pm pay lic premium,",['Not Found']
325,"Please remind me at 5:45,","please remind :,",['Not Found']
326,"I want the reminder from 10 am till 8 pm in the night at the interval of 1 hour,","want reminder  till  pm night interval  hour,",['Not Found']
327,"Remind me at 2:42 pm today,","remind : pm today,",['the same']
328,"Reminder fr gym,","reminder fr gym,",['Not Found']
329,"Remind me with notification,","remind notification,",['How']
330,"Wish Birthday Name: Archana Atrawalkar Date: January 23, 2017 Time: 8 00 am,","wish birthday name: archana atrawalkar date: january ,  time:   am,",['Not Found']
331,"Thnx 2 remind me,","thnx  remind me,",['How']
332,"Remind me of calling at vyas classes tomorrow at 10.30 am,","remind calling vyas class tomorrow . am,",['class']
333,"Remind me evening time provide some data to a person,","remind evening time provide data person,",['Not Found']
334,"Today 7pm remind to go to see office,","today pm remind go see office,",['the same']
335,"Can you remind me for,","remind for,",['How']
336,"Remind me to book train ticket at 1030,","remind book train ticket ,",['book train tickets']
337,"A reminder a 7 pm as well,","reminder  pm well,",['Where']
338,"Add alarm,","add alarm,",['Alarm']
339,"Could you please remind me for on January 7 for watching sherlock holmes season 4 on axn,","could please remind january  watching sherlock holmes season  axn,",['Not Found']
340,"Set a reminder at 1.00 pm to get ready for class,","set reminder . pm get ready class,",['class']
341,"Pleade tell me about alto and wagonR,","pleade tell alto wagonr,",['you']
342,"Remind me to go to bhagyashrees place @8:20,","remind go bhagyashrees place @:,",['how']
343,"Can u remind somebody else too on my behalf?,","u remind somebody else behalf?,",['How']
344,"Put up a general reminder for ""form omkar"" at 8:30am tomorrow,","put general reminder ""form omkar"" :am tomorrow,",['Not Found']
345,"If I m offline then also u reminds me,","offline also u reminds me,",['Not Found']
346,"Remind me of reading newspaper loudly,","remind reading newspaper loudly,",['How']
347,"But how to indicate which schedule is this,","indicate schedule this,",['Not Found']
348,"7:00 am,",": am,",['Not Found']
349,"Ring *,","ring *,",['Not Found']
350,"Yes I would like you to remind me everyday starting from tomorrow,","yes would like remind everyday starting tomorrow,",['Not Found']
351,"Who is better? Sir Dhruneal or Mr. Doshi?,","better? sir dhruneal mr. doshi?,",['Not Found']
352,"How to manage reminders,","manage reminders,",['Not Found']
353,"Dismissed schedule.,","dismissed schedule.,",['Not Found']
354,"Set reminder for today on 7.20pm,","set reminder today .pm,",['Not Found']
355,"Can u plz remind me for a webinar at 4pm today,","u plz remind webinar pm today,",['the same']
356,"Reminder for Sunday 15 Jan birthday party for friend 's daughter,","reminder sunday  jan birthday party friend 's daughter,",['Not Found']
357,"Set reminder for 9:45am 9:50am, 9:55 am, 10:00 am, 10:05 am tomorrow,","set reminder :am :am, : am, : am, : tomorrow,",['the same']
358,"Will u ring,","u ring,",['Not Found']
359,"On 2 Jan around 9pm,"," jan around pm,",['Not Found']
360,"I want a reminder every Friday by 9:00 pm that I have practicals on Saturday,","want reminder every friday : pm practicals saturday,",['Not Found']
361,"Actually I have to email them. Remind me please,","actually email them. remind please,",['Not Found']
362,"So how you will remind me.,","remind me.,",['How']
363,"Remind me at 2.30 pm today for NRI account.,","remind . pm today nri account.,",['the same']
364,"Sory Sory..unknowingly I pressed it again..jus one reminder is enuf,","sory sory..unknowingly pressed again..jus one reminder enuf,",['Not Found']
365,"Can u help me remind my boyfriends birthday whc is on 22dec,","u help remind boyfriend birthday whc dec,",['birthday']
366,"Set Alarm from 4:40AM to 5:00AM, today, 5 minutes difference,","set alarm :am :am, today,  minute difference,",['Alarm']
367,"Remind me at 11.55am about lenovo fab sell on Flipkart,","remind .am lenovo fab sell flipkart,",['Not Found']
